Scrape started at 2025-12-09 21:02:55.337802+05:30
[2025-12-09 21:02:55] --- Starting DishTV Scraper ---
[2025-12-09 21:02:57] DISH SUCCESS: 143663 -> pogo.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 117852 -> sun-tv.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 142743 -> cnbc-tv18.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 142743 -> cnbc-tv18.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143663 -> pogo.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143888 -> surya-tv.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 157590 -> sony-max.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 158251 -> dd-india.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143543 -> mirror-now.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143197 -> india-today.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 157590 -> sony-max.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143558 -> mtv.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 142521 -> abp-majha.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143543 -> mirror-now.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143021 -> et-now.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 159298 -> zee-news.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 142771 -> dangal.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 158251 -> dd-india.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 142771 -> dangal.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143558 -> mtv.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143021 -> et-now.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143723 -> republic-tv.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 159298 -> zee-news.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143197 -> india-today.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143723 -> republic-tv.json (09/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143888 -> surya-tv.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 117852 -> sun-tv.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143133 -> history-tv18-hd.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 142521 -> abp-majha.json (10/12/2025)
[2025-12-09 21:02:57] DISH SUCCESS: 143133 -> history-tv18-hd.json (09/12/2025)
[2025-12-09 21:02:58] DISH SUCCESS: 144480 -> zee-up-uk.json (09/12/2025)
[2025-12-09 21:02:58] DISH SUCCESS: 144480 -> zee-up-uk.json (10/12/2025)
[2025-12-09 21:02:58] DISH SUCCESS: 157580 -> colors-marathi-sd.json (09/12/2025)
[2025-12-09 21:02:58] DISH SUCCESS: 157578 -> colors-infinity-sd.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 157580 -> colors-marathi-sd.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 157600 -> zoom.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 157600 -> zoom.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 157579 -> colors-kannada-cinema.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 158141 -> b4u-music.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 142800 -> dd-punjabi.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 158023 -> tlc.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 154897 -> ntv.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 142748 -> colors-bangla-cinema.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 158146 -> colors-cineplex.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 157578 -> colors-infinity-sd.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 158141 -> b4u-music.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 157579 -> colors-kannada-cinema.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 142751 -> colors-gujarati-cinema.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 144087 -> wion.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 158146 -> colors-cineplex.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 142748 -> colors-bangla-cinema.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 142751 -> colors-gujarati-cinema.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 142401 -> russia-today.json (09/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 144087 -> wion.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 142401 -> russia-today.json (10/12/2025)
[2025-12-09 21:02:59] DISH SUCCESS: 142800 -> dd-punjabi.json (09/12/2025)
[2025-12-09 21:03:00] DISH SUCCESS: 143030 -> etv-plus.json (09/12/2025)
